feature,coefficient,odds_ratio,direction,abs_coefficient
Credit_History,2.7825689751613694,16.160483547860007,Favors Approval,2.7825689751613694
EMI_to_Income,0.39323238584921705,1.4817626900034673,Favors Approval,0.39323238584921705
Gender,-0.19979082225158148,0.818902031246638,Favors Rejection,0.19979082225158148
Married,-0.1684457901290183,0.8449770682752412,Favors Rejection,0.1684457901290183
Loan_per_Term,-0.12331493204227909,0.8839852234466582,Favors Rejection,0.12331493204227909
CoapplicantIncome,0.12028320509058262,1.1278162096471396,Favors Approval,0.12028320509058262
Loan_Amount_Term,0.08459126145776667,1.088272157003716,Favors Approval,0.08459126145776667
ApplicantIncome,-0.08011185302846006,0.9230130988020566,Favors Rejection,0.08011185302846006
Dependents,-0.06933505687304889,0.9330140149424683,Favors Rejection,0.06933505687304889
Education,0.03232158110123087,1.0328495968158296,Favors Approval,0.03232158110123087
LoanAmount,0.030746951675702534,1.0312245212302316,Favors Approval,0.030746951675702534
Self_Employed,-0.028562694865972748,0.9718413627721286,Favors Rejection,0.028562694865972748
Income_to_Loan_Ratio,0.020467175639311327,1.0206780645883895,Favors Approval,0.020467175639311327
Property_Area,0.013527928685151177,1.0136198451244096,Favors Approval,0.013527928685151177
Total_Income,-0.010533122136809693,0.9895221569368444,Favors Rejection,0.010533122136809693
